model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,33,3,0,1,871,170,0.5119870772845515,0.5194218343542838,1.0061943531036377,-0.006194353103637695
shared,33,3,4,2,1931,389,0.4858553476105215,0.4850759705120382,1.00434410572052,-0.0043441057205200195
shared,33,3,6,1,779,158,0.5321398723985405,0.5235481766852158,0.9983810186386108,0.0016189813613891602
shared,33,3,12,1,977,194,0.5167871390765099,0.5130972600755751,1.0022764205932617,-0.0022764205932617188
shared,33,3,14,1,986,197,0.468584534815644,0.4711805086435956,1.0052604675292969,-0.005260467529296875
shared,33,3,16,1,978,194,0.4480295339785399,0.44746738901746264,1.014284610748291,-0.014284610748291016
shared,33,3,22,2,988,185,0.5182323045336744,0.517734172528693,1.000780701637268,-0.0007807016372680664
shared,33,3,40,1,774,151,0.5216852869580006,0.5290784816047113,1.0001468658447266,-0.0001468658447265625
shared,33,3,41,1,993,200,0.49143127364438843,0.5054476670870114,1.003706932067871,-0.0037069320678710938
shared,33,3,42,1,978,195,0.5394930739758326,0.515738284703802,0.9955177307128906,0.004482269287109375
shared,33,3,46,1,865,176,0.5003793376434886,0.49719620002638876,1.0010986328125,-0.0010986328125
shared,33,3,48,1,764,151,0.5202294653371218,0.5132018193014487,0.9994361400604248,0.0005638599395751953
shared,33,3,57,1,998,200,0.5494235588972431,0.5362969924812031,0.9954787492752075,0.0045212507247924805
shared,33,3,70,1,793,158,0.5344712448918568,0.5447872022326323,1.00003981590271,-3.981590270996094e-05
shared,33,4,2,1,849,173,0.53876509217772,0.525002565242672,0.9972175359725952,0.002782464027404785
shared,33,4,5,1,995,200,0.5249088050314465,0.522940251572327,0.999631404876709,0.0003685951232910156
shared,33,4,10,1,991,198,0.4715789674806068,0.48508094819570236,1.0058132410049438,-0.005813241004943848
shared,33,4,25,2,1779,355,0.5221603497388827,0.525826871340402,0.9993783235549927,0.0006216764450073242
shared,33,4,29,1,446,84,0.5228393843725335,0.5305840568271507,1.0002830028533936,-0.0002830028533935547
shared,33,4,31,2,1776,356,0.47350648836841275,0.4744698528248141,1.0040180683135986,-0.004018068313598633
shared,33,4,47,1,999,200,0.48383291614518154,0.49790988735919905,1.003392219543457,-0.0033922195434570312
shared,33,4,49,1,994,196,0.5228664774180349,0.4852309344790548,0.9987554550170898,0.0012445449829101562
shared,33,4,52,1,991,198,0.49828040811647367,0.5096647432713006,1.0015068054199219,-0.001506805419921875
shared,33,4,60,1,598,90,0.48304899387576555,0.48648293963254596,1.0023051500320435,-0.002305150032043457
shared,33,4,63,1,949,190,0.4967790028430761,0.512280701754386,1.0053763389587402,-0.005376338958740234
shared,33,4,65,1,987,197,0.5409271991261324,0.5270898926942107,0.9976376295089722,0.002362370491027832
shared,33,4,67,1,997,200,0.5066656210790464,0.5065119196988708,1.000387191772461,-0.0003871917724609375
shared,33,4,72,1,710,146,0.5019127076654036,0.5004129019722141,1.0001342296600342,-0.0001342296600341797
