model,seed,partition,train_block,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
child_spatial,11,odd_even_blocks,0,20,2,556,104,0.4953518550034036,0.46613342409802583,1.0056625604629517,-0.00566256046295166
child_spatial,11,odd_even_blocks,0,21,1,279,55,0.4755681818181817,0.45718344155844154,1.0105602741241455,-0.010560274124145508
child_spatial,11,odd_even_blocks,0,22,2,314,57,0.5648849750836233,0.5209229298928255,0.9897393584251404,0.01026064157485962
child_spatial,11,odd_even_blocks,0,23,1,300,57,0.564219189950184,0.5564219189950184,0.9873039722442627,0.012696027755737305
child_spatial,11,odd_even_blocks,0,24,2,549,104,0.5441011235955056,0.536614088159032,0.9938700199127197,0.0061299800872802734
child_spatial,11,odd_even_blocks,0,25,2,545,106,0.5338462199681954,0.5174818412343662,0.9966097474098206,0.0033902525901794434
child_spatial,11,odd_even_blocks,0,26,1,290,56,0.46440018315018317,0.44253663003663,1.0124320983886719,-0.012432098388671875
child_spatial,11,odd_even_blocks,0,27,1,294,56,0.6308898559423769,0.5976890756302521,0.9768733978271484,0.023126602172851562
child_spatial,11,odd_even_blocks,0,30,1,300,56,0.4984265222482436,0.4979508196721312,1.0140659809112549,-0.014065980911254883
child_spatial,11,odd_even_blocks,0,31,2,521,101,0.5148868458274398,0.5097359735973597,1.0060454607009888,-0.0060454607009887695
child_spatial,11,odd_even_blocks,0,32,1,301,58,0.5814176245210729,0.5581453100610189,0.9875014424324036,0.012498557567596436
child_spatial,11,odd_even_blocks,0,33,1,295,56,0.4929766885833831,0.515839808726838,1.0057610273361206,-0.0057610273361206055
child_spatial,11,odd_even_blocks,0,34,1,303,57,0.5691056910569106,0.5498502353444586,0.9901520013809204,0.00984799861907959
child_spatial,11,odd_even_blocks,0,35,1,290,57,0.44371658760635496,0.4206385061365861,1.0350420475006104,-0.03504204750061035
child_spatial,11,odd_even_blocks,0,36,1,274,53,0.4948774865534022,0.5360283445744045,1.020124077796936,-0.020124077796936035
child_spatial,11,odd_even_blocks,0,37,1,230,46,0.5287689035916824,0.529891304347826,1.0033907890319824,-0.003390789031982422
child_spatial,11,odd_even_blocks,0,38,2,596,113,0.5845563311896518,0.5485626339801022,0.9872395992279053,0.012760400772094727
child_spatial,11,odd_even_blocks,0,39,1,299,54,0.4964474678760393,0.5105820105820106,1.0040923357009888,-0.0040923357009887695
child_spatial,11,odd_even_blocks,0,40,1,259,47,0.5019570453633079,0.49693898032918504,1.0058451890945435,-0.005845189094543457
child_spatial,11,odd_even_blocks,0,41,1,326,67,0.46357978447530684,0.42929176511266065,1.0116047859191895,-0.011604785919189453
child_spatial,11,odd_even_blocks,0,42,1,286,54,0.4634418901660281,0.46487867177522346,1.0105676651000977,-0.010567665100097656
child_spatial,11,odd_even_blocks,0,43,1,297,53,0.6049721620785647,0.5579956696566657,0.9786591529846191,0.02134084701538086
child_spatial,11,odd_even_blocks,0,44,1,257,50,0.5386473429951691,0.53256038647343,1.001554012298584,-0.0015540122985839844
child_spatial,11,odd_even_blocks,0,45,2,574,109,0.4933412252145605,0.5059090460688567,1.0067164897918701,-0.006716489791870117
child_spatial,11,odd_even_blocks,0,46,1,270,53,0.5286062081558125,0.512564124858708,1.0031577348709106,-0.0031577348709106445
child_spatial,11,odd_even_blocks,0,47,1,301,58,0.49304668653327655,0.49925500212856533,1.0129517316818237,-0.01295173168182373
child_spatial,11,odd_even_blocks,0,48,1,229,43,0.4397974493623406,0.46374093523380844,1.0227247476577759,-0.02272474765777588
child_spatial,11,odd_even_blocks,0,49,1,301,56,0.5048833819241982,0.5155612244897959,1.0072965621948242,-0.007296562194824219
child_spatial,11,odd_even_blocks,0,50,1,220,40,0.5260416666666666,0.475,0.9978090524673462,0.0021909475326538086
child_spatial,11,odd_even_blocks,0,51,2,604,113,0.46415118144296447,0.4723518915703909,1.008582353591919,-0.008582353591918945
child_spatial,11,odd_even_blocks,0,52,1,297,55,0.3878662659654395,0.4181818181818182,1.0299532413482666,-0.0299532413482666
child_spatial,11,odd_even_blocks,0,53,1,297,57,0.491703216374269,0.5052631578947369,1.032712459564209,-0.032712459564208984
child_spatial,11,odd_even_blocks,0,54,1,296,55,0.5662768766503207,0.5619011693700491,0.9910351037979126,0.008964896202087402
child_spatial,11,odd_even_blocks,0,56,1,298,57,0.3379922836135983,0.39404527917303633,1.0473698377609253,-0.04736983776092529
child_spatial,11,odd_even_blocks,0,57,1,299,56,0.5574661963550853,0.5546737213403881,0.9954472184181213,0.004552781581878662
child_spatial,11,odd_even_blocks,0,58,1,292,54,0.49120759414877063,0.4852163087457205,1.0073025226593018,-0.007302522659301758
child_spatial,11,odd_even_blocks,0,59,2,565,108,0.5688670070508145,0.5538232433746657,0.9885772466659546,0.01142275333404541
child_spatial,11,odd_even_blocks,0,61,1,289,55,0.5393939393939393,0.5216394716394717,0.993330717086792,0.006669282913208008
child_spatial,11,odd_even_blocks,0,62,1,283,55,0.6048245614035088,0.5901116427432217,0.9844728112220764,0.015527188777923584
