mode,outer_fold,window,family,calibration,effect,first,second,estimate,ci_lower,ci_upper,n_candidates,n_bootstrap,units,bootstrap_scope
R_SIM,3,post,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,-0.0005459855157579605,-0.0025627902410109557,0.0015013597170300274,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,post,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,-0.0006913937672289784,-0.0026201372288626457,0.0013364919863465719,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,post,logistic,raw,gain_mu_var,HMU,HMUVAR,-0.00019134413585104618,-0.0018844841018127883,0.001505826079018163,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,post,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,-0.0002639478654399714,-0.0020041956751265825,0.0014877058795164358,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,post,logistic,temperature,gain_mu_var,HMU,HMUVAR,-0.0005459855157579605,-0.0025627902410109557,0.0015013597170300274,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,post,logistic,temperature,mv_vs_dup,HMUMU,HMUVAR,-0.0006913937672289784,-0.0026201372288626457,0.0013364919863465719,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,pre,logistic,mixture_diagnostic,gain_mu_var,HMU,HMUVAR,0.0004523828560291553,-0.001033388948605609,0.002343907478563977,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,pre,logistic,mixture_diagnostic,mv_vs_dup,HMUMU,HMUVAR,0.000603739204082984,-0.0008777378176689527,0.00247549243430735,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,pre,logistic,raw,gain_mu_var,HMU,HMUVAR,0.0006341512350516796,-0.0008517531601705914,0.002505971253340578,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
R_SIM,3,pre,logistic,raw,mv_vs_dup,HMUMU,HMUVAR,0.0007671345272571156,-0.0007377338628346873,0.0026603792336326363,11,2000,bits_per_bag,candidate_cluster_fixed_oof_no_refit
