model,seed,fold,child,n_records,n,n_class1,auc,bacc,ce_bal_bits,j_bits
shared,33,3,41,1,998,200,0.4297149122807018,0.4631015037593985,1.0311524868011475,-0.03115248680114746
shared,33,3,42,1,993,197,0.5358901104507308,0.5353161747825421,0.9981285333633423,0.0018714666366577148
shared,33,3,46,1,981,197,0.5568249507924998,0.5402756914948721,0.9932090044021606,0.0067909955978393555
shared,33,3,48,1,983,198,0.6483529563147399,0.5955446181560831,0.9630043506622314,0.036995649337768555
shared,33,3,57,1,998,200,0.6339724310776943,0.5807518796992481,0.9733690619468689,0.026630938053131104
shared,33,3,70,1,901,179,0.5006112753214998,0.48890806109658147,1.0123047828674316,-0.01230478286743164
shared,33,4,2,1,945,193,0.5326452430823503,0.5189270752948958,1.0002915859222412,-0.00029158592224121094
shared,33,4,5,1,997,200,0.492107904642409,0.48714868255959853,1.007422924041748,-0.007422924041748047
shared,33,4,10,1,996,200,0.5538693467336684,0.5355276381909548,1.0018032789230347,-0.001803278923034668
shared,33,4,25,2,1881,376,0.5697762776560401,0.5447082420301124,0.9901410341262817,0.009858965873718262
shared,33,4,29,1,622,134,0.4669684365059946,0.49284316124296546,1.0154697895050049,-0.015469789505004883
shared,33,4,31,2,1981,399,0.5629623996780827,0.5434326967862133,0.9947472810745239,0.005252718925476074
shared,33,4,47,1,1000,200,0.5139312500000001,0.5037499999999999,1.0021218061447144,-0.0021218061447143555
shared,33,4,49,1,994,196,0.5330194107718275,0.521437522377372,0.9980355501174927,0.0019644498825073242
shared,33,4,52,1,996,199,0.5212858520961142,0.5027994426334936,1.000152826309204,-0.00015282630920410156
shared,33,4,60,1,598,90,0.4323272090988627,0.4413385826771653,1.0157736539840698,-0.015773653984069824
shared,33,4,63,1,977,194,0.5092065937249016,0.5033278034522257,1.012865424156189,-0.012865424156188965
shared,33,4,65,1,990,198,0.5791947250280582,0.5593434343434344,0.9906609058380127,0.009339094161987305
shared,33,4,67,1,997,200,0.5149623588456713,0.5022333751568382,1.002293586730957,-0.0022935867309570312
shared,33,4,72,1,885,182,0.5069990464727308,0.5087927719506666,1.002842903137207,-0.0028429031372070312
